Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Sort Category,Chrome 106.0.0.0,,,2022-10-25 11:58:30,2022-10-25 11:59:46,1m - 16.512s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Sort Category/SORT001 - category Baju,Chrome 106.0.0.0,,,2022-10-25 11:58:40,2022-10-25 11:58:54,13.818s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-25 11:58:40,2022-10-25 11:58:47,6.383s,PASSED
"callTestCase(findTestCase(""Pages/Homepage/Click kategori baju""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 11:58:47,2022-10-25 11:58:50,2.198s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-25 11:58:50,2022-10-25 11:58:53,3.052s,PASSED
"verifyElementText(findTestObject(""Homepage/text_product3_category""), ""Baju"")",Chrome 106.0.0.0,,,2022-10-25 11:58:53,2022-10-25 11:58:53,0.509s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-25 11:58:53,2022-10-25 11:58:54,0.861s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Sort Category/SORT002 - category elektronik,Chrome 106.0.0.0,,,2022-10-25 11:58:54,2022-10-25 11:59:06,11.760s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-25 11:58:54,2022-10-25 11:58:59,4.907s,PASSED
"callTestCase(findTestCase(""Pages/Homepage/Click kategori elektronik""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 11:59:00,2022-10-25 11:59:02,1.861s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-25 11:59:02,2022-10-25 11:59:05,3.011s,PASSED
"verifyElementText(findTestObject(""Homepage/text_product3_category""), ""Elektronik"")",Chrome 106.0.0.0,,,2022-10-25 11:59:05,2022-10-25 11:59:05,0.491s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-25 11:59:05,2022-10-25 11:59:06,0.791s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Sort Category/SORT005 - category hobi,Chrome 106.0.0.0,,,2022-10-25 11:59:06,2022-10-25 11:59:22,15.668s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-25 11:59:06,2022-10-25 11:59:15,8.644s,PASSED
"callTestCase(findTestCase(""Pages/Homepage/Click kategori hobi""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 11:59:15,2022-10-25 11:59:17,1.977s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-25 11:59:17,2022-10-25 11:59:20,3.009s,PASSED
"verifyElementText(findTestObject(""Homepage/text_product3_category""), ""Hoby"")",Chrome 106.0.0.0,,,2022-10-25 11:59:20,2022-10-25 11:59:21,0.493s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-25 11:59:21,2022-10-25 11:59:22,0.765s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Sort Category/SORT004 - category kendaraan,Chrome 106.0.0.0,,,2022-10-25 11:59:22,2022-10-25 11:59:34,12.862s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-25 11:59:22,2022-10-25 11:59:27,5.806s,PASSED
"callTestCase(findTestCase(""Pages/Homepage/Click kategori kendaraan""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 11:59:28,2022-10-25 11:59:30,2.087s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-25 11:59:30,2022-10-25 11:59:33,3.008s,PASSED
"verifyElementText(findTestObject(""Homepage/text_product3_category""), ""Kendaraan"")",Chrome 106.0.0.0,,,2022-10-25 11:59:33,2022-10-25 11:59:34,0.442s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-25 11:59:34,2022-10-25 11:59:34,0.776s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Sort Category/SORT003 - category kesehatan,Chrome 106.0.0.0,,,2022-10-25 11:59:34,2022-10-25 11:59:46,11.788s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-25 11:59:34,2022-10-25 11:59:39,4.764s,PASSED
"callTestCase(findTestCase(""Pages/Homepage/Click kategori kesehatan""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 11:59:40,2022-10-25 11:59:42,1.645s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-25 11:59:42,2022-10-25 11:59:45,3.005s,PASSED
"verifyElementText(findTestObject(""Homepage/text_product3_category""), ""Kesehatan"")",Chrome 106.0.0.0,,,2022-10-25 11:59:45,2022-10-25 11:59:45,0.466s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-25 11:59:45,2022-10-25 11:59:46,0.821s,PASSED
