Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Add Item Daftar Jual Page,Chrome 106.0.0.0,,,2022-10-30 10:08:26,2022-10-30 10:10:51,2m - 25.231s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Add Item/ADDITEMDAFTARJUAL001 - User Want To Add Item,Chrome 106.0.0.0,,,2022-10-30 10:08:33,2022-10-30 10:09:38,1m - 5.691s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-30 10:08:33,2022-10-30 10:08:38,4.731s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:08:38,2022-10-30 10:08:49,10.582s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Click Menu Button""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:08:49,2022-10-30 10:08:50,1.623s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Click Tambah Produk Button""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:08:50,2022-10-30 10:08:54,4.063s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Input Nama Produk""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:08:54,2022-10-30 10:08:56,1.506s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Input Harga Produk""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:08:56,2022-10-30 10:08:57,1.520s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Choose Kategori""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:08:57,2022-10-30 10:09:00,2.250s,PASSED
"callTestCase(findTestCase(""Pages/UserAddItem(Daftar Jual)/Input Deskripsi""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-30 10:09:00,2022-10-30 10:09:01,1.464s,PASSED
