Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Edit Item,Chrome 107.0.0.0,,,2022-11-01 06:18:34,2022-11-01 06:20:16,1m - 41.397s,FAILED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM001 - Edit Item With Preview in Semua Product page,Chrome 107.0.0.0,,,2022-11-01 06:18:38,2022-11-01 06:19:04,25.778s,FAILED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-11-01 06:18:38,2022-11-01 06:18:42,3.399s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:18:42,2022-11-01 06:18:51,8.756s,PASSED
"click(findTestObject(""Page_Home/svg_Profile_svg-inline--fa fa-list fa-lg""))",Chrome 107.0.0.0,,,2022-11-01 06:18:51,2022-11-01 06:18:51,0.630s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Semua Product""))",Chrome 107.0.0.0,,,2022-11-01 06:18:51,2022-11-01 06:18:55,3.241s,PASSED
"click(findTestObject(""Page_Daftar_Jual/btn_Paracetamol 500mgboxKesehatanRp1.000.000,00""))",Chrome 107.0.0.0,,,2022-11-01 06:18:55,2022-11-01 06:18:55,0.412s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Edit""))",Chrome 107.0.0.0,,,2022-11-01 06:18:55,2022-11-01 06:18:57,1.792s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Nama Produk""), [""nama_produk"":""Paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:18:57,2022-11-01 06:18:58,1.575s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Harga Produk""), [""harga_produk"":""10000""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:18:58,2022-11-01 06:19:00,1.187s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Select Kategori""), [""select_kategori"":""1""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:19:00,2022-11-01 06:19:01,1.621s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Deskripsi""), [""deskripsi"":""ini deskripsi paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:19:01,2022-11-01 06:19:03,1.238s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Add Photo""), [""add_photo"":""C:\Users\ASUS\Downloads\desain1.png""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:19:03,2022-11-01 06:19:04,0.981s,FAILED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-11-01 06:19:04,2022-11-01 06:19:04,0.678s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM002 - Edit Item Without Preview in Semua Product page,Chrome 107.0.0.0,,,2022-11-01 06:19:04,2022-11-01 06:19:27,22.482s,FAILED
