Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Submit Offering,Chrome 107.0.0.0,,,2022-11-02 17:38:56,2022-11-02 17:44:51,5m - 54.168s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Submit Offering/SUBOF001 - Offering with input invalid Harga Tawar,Chrome 107.0.0.0,,,2022-11-02 17:39:02,2022-11-02 17:43:21,4m - 19.035s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-11-02 17:39:02,2022-11-02 17:39:06,4.213s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-02 17:39:07,2022-11-02 17:39:16,9.161s,PASSED
"click(findTestObject(""Page_Submit_Offering/div_TeslaKendaraanRp1.500.000,00""))",Chrome 107.0.0.0,,,2022-11-02 17:39:16,2022-11-02 17:39:50,34.034s,PASSED
"click(findTestObject(""Page_Submit_Offering/button_Saya tertarik dan ingin nego""))",Chrome 107.0.0.0,,,2022-11-02 17:39:50,2022-11-02 17:40:01,11.378s,PASSED
"callTestCase(findTestCase(""Pages/SubmitOffering/Verify Content Pop Up""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-02 17:40:01,2022-11-02 17:42:42,2m - 41.137s,PASSED
"setText(findTestObject(""Page_Submit_Offering/input_Harga Tawar_form-control""), ""lima ribu"")",Chrome 107.0.0.0,,,2022-11-02 17:42:42,2022-11-02 17:42:43,1.010s,PASSED
"callTestCase(findTestCase(""Pages/SubmitOffering/Message Success""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-02 17:42:43,2022-11-02 17:43:16,32.410s,PASSED
"callTestCase(findTestCase(""Pages/SubmitOffering/Click Kirim""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-02 17:43:16,2022-11-02 17:43:17,1.177s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-02 17:43:17,2022-11-02 17:43:20,3.020s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-11-02 17:43:20,2022-11-02 17:43:21,0.829s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Submit Offering/SUBOF002 - Offering with input valid harga tawar,Chrome 107.0.0.0,,,2022-11-02 17:43:21,2022-11-02 17:44:51,1m - 29.609s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-11-02 17:43:21,2022-11-02 17:43:26,5.200s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-02 17:43:27,2022-11-02 17:43:34,7.526s,PASSED
"click(findTestObject(""Page_Submit_Offering/div_TeslaKendaraanRp1.500.000,00""))",Chrome 107.0.0.0,,,2022-11-02 17:43:34,2022-11-02 17:44:08,33.980s,PASSED
"click(findTestObject(""Page_Submit_Offering/button_Saya tertarik dan ingin nego""))",Chrome 107.0.0.0,,,2022-11-02 17:44:08,2022-11-02 17:44:11,3.233s,PASSED
"setText(findTestObject(""Page_Submit_Offering/input_Harga Tawar_form-control""), ""100000"")",Chrome 107.0.0.0,,,2022-11-02 17:44:11,2022-11-02 17:44:12,0.973s,PASSED
"callTestCase(findTestCase(""Pages/SubmitOffering/Message Success""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-02 17:44:12,2022-11-02 17:44:44,31.864s,PASSED
"callTestCase(findTestCase(""Pages/SubmitOffering/Click Kirim""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-02 17:44:44,2022-11-02 17:44:45,0.572s,PASSED
delay(5),Chrome 107.0.0.0,,,2022-11-02 17:44:45,2022-11-02 17:44:50,5.000s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-11-02 17:44:50,2022-11-02 17:44:51,0.795s,PASSED
